Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,16:29:00,,16.48,0,16:40:00,CL59259,KAYAMANDI,10,676,16,16:43:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:48,CL56735,CLOETESVILLE,9,665,16,16:50:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:41:00,CL35291,KAYAMANDI,10,676,16,16:44:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:30:00,,16.5,0,16:30:00,CL27906,SOMERSET WEST,15,T43,16,16:34:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:33:00,,16.55,0,16:43:00,CL75118,KAYAMANDI,10,676,16,16:46:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:08:00,CL82366,IDAS VALLEY,9,630,14,17:04:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:46:00,CL66300,IDAS VALLEY,9,630,15,16:49:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:34:00,,16.57,0,16:50:00,CL26788,IDAS VALLEY,9,630,15,16:58:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:36:00,,16.6,0,17:04:00,MJACOBSWP,IDAS VALLEY,9,630,14,17:11:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,16:37:00,,16.62,0,16:44:00,CL28514,KAYAMANDI,10,676,16,16:46,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:43:00,,16.72,11,16:43:00,CL31272,DEVON VALLEY,10,664,16,17:30:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,16:43:00,,16.72,0,16:46:00,CL12804,KAYAMANDI,10,676,16,16:47:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:44:00,,16.73,0,16:10:00,CL34331,SOMERSET WEST,15,660,16,16:58:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,16:44:00,,16.73,0,16:48:00,CL70469,KAYAMANDI,10,676,16,16:50:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,16:58:00,CFM22288,SOMERSET WEST,15,278,16,17:09:00,18-Jun-18,Weekday PM,18Jun-278-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,17:09:00,CL53080,SOMERSET WEST,15,T43,16,17:10:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:45:00,,16.75,0,17:10:00,CL80948,SOMERSET WEST,15,T43,16,17:15:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:48:00,CL68550,KAYAMANDI,10,676,16,16:49:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:49:00,CL62506,KAYAMANDI,10,676,16,16:53:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:47:00,,16.78,0,16:48:00,CL19075,DEVON VALLEY,10,none,10,17:15:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:50:00,CL65735,CLOETESVILLE,9,636,14,16:54:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:48:00,CL32113,SOMERSET WEST,15,660,16,16:52:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:51:00,CF95840,KAYAMANDI,10,676,20,16:59:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:48:00,,16.8,0,16:53:00,CL76979,KAYAMANDI,10,676,16,16:55:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:49:00,,16.82,0,16:54:00,THURLOWP,CLOETESVILLE,9,665,16,16:56:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:50:00,CL82352,CLOETESVILLE,9,665,16,16:57:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:57:00,CL15204,KAYAMANDI,10,676,16,17:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:50:00,,16.83,0,16:55:00,DINGE1WP,KAYAMANDI,10,676,16,16:57:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:51:00,,16.85,0,16:58:00,GEORGE3WP,CLOETESVILLE,9,665,14,17:01:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,17:02:00,CL44770,CLOETESVILLE,9,665,14,17:04:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,17:05:00,CL50176,CLOETESVILLE,9,665,14,17:01:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:52:00,,16.87,0,16:58:00,CL16234,KAYAMANDI,10,676,16,17:03:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:56:00,,16.93,0,17:03:00,CL78512,KAYAMANDI,10,676,16,17:06:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:56:00,,16.93,0,17:05:00,CL63744,KAYAMANDI,10,676,16,17:10:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:57:00,,16.95,0,17:09,CL15771,KAYAMANDI,10,676,16,17:12:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:58:00,,16.97,0,17:07:00,CL30861,CLOETESVILLE,9,636,16,17:10:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,16:58:00,,16.97,8,17:06:00,CL30351,JAMESTOWN,10,670,16,17:16:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,16:58:00,,16.97,0,17:09:00,CF145445,KAYAMANDI,10,676,16,17:15:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,16:59:00,,16.98,0,17:08:00,CL44818,CLOETESVILLE,9,665,14,17:13:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,16:59:00,,16.98,0,17:13:00,CL65488,CLOETESVILLE,9,665,14,17:17:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:00:00,,17,6,17:15:00,CL48819,CLOETESVILLE,9,636,14,17:17:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,17:01:00,,17.02,0,17:01:00,CL53662,KAYAMANDI,10,676,16,17:04:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:04:00,,17.07,0,17:11:00,MJACOBSWP,IDAS VALLEY,9,630,15,17:16:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:04:00,,17.07,0,17:20:00,DEONKWP,IDAS VALLEY,9,630,14,17:20:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:04:00,,17.07,0,17:16:00,CL33233,IDAS VALLEY,9,665,14,17:16:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:04:00,,17.07,0,17:13:00,CL70874,KAYAMANDI,10,676,16,17:15:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:05:00,,17.08,0,17:14:00,CL37650,KYLEMORE,13,668,15,17:20:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:05:00,,17.08,0,17:15:00,CF214332,KAYAMANDI,10,676,16,17:18:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:08:00,,17.13,0,17:16:00,CL20504,KAYAMANDI,10,676,16,17:18:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:08:00,,17.13,0,17:19:00,CL21874,KAYAMANDI,10,676,16,17:24:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:09:00,,17.15,0,17:17:00,CL40350,CLOETESVILLE,9,636,14,17:21:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,17:09:00,,17.15,0,17:18:00,CL32085,KAYAMANDI,10,676,16,17:22:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:10:00,,17.17,0,17:21:00,CL82983,CLOETESVILLE,9,665,16,17:24:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:10:00,,17.17,0,17:24:00,CL55423,CLOETESVILLE,9,665,14,17:26:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:10:00,,17.17,0,17:25:00,CL37374,KAYAMANDI,10,676,16,17:27:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:10:00,,17.17,0,17:15:00,CFM74978,SOMERSET WEST,15,none,16,17:20:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:11:00,,17.18,0,17:22:00,CL53491,IDAS VALLEY,9,630,14,17:22:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:11:00,,17.18,9,17:20:00,CL78692,KYLEMORE,13,668,16,17:26:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:12:00,,17.2,0,17:26:00,CL19254,SOMERSET WEST,15,499,16,17:34:00,18-Jun-18,Weekday PM,18Jun-499-Weekday PM-Bergzicht
Bergzicht,17:12:00,,17.2,0,17:27:00,CL26098,IDAS VALLEY,9,630,15,17:31:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:12:00,,17.2,0,17:22:00,CL651WP,IDAS VALLEY,9,630,14,17:22:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:12:00,,17.2,0,17:26:00,CL69021,IDAS VALLEY,9,630,14,17:26:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:12:00,,17.2,0,17:34:00,CL66300,IDAS VALLEY,9,630,14,17:33:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:13:00,,17.22,2,17:33:00,CL44603,CLOETESVILLE,9,636,14,17:35:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,17:13:00,,17.22,0,17:20:00,CL75515,DEVON VALLEY,10,664,10,18:00:00,18-Jun-18,Weekday PM,18Jun-664-Weekday PM-Bergzicht
Bergzicht,17:13:00,,17.22,0,17:26:00,3JACOBSWP,CLOETESVILLE,9,665,16,17:29:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:13:00,,17.22,0,17:30:00,CL74694,CLOETESVILLE,9,665,14,17:33:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:14:00,,17.23,0,17:38:00,CL63735,CLOETESVILLE,9,665,14,17:40:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:14:00,,17.23,0,17:22:00,CF64390,KAYAMANDI,10,676,16,17:25:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:16:00,,17.27,10,17:23:00,CL34620,KYLEMORE,13,668,16,17:32:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:17:00,,17.28,0,17:27:00,CL31110,KAYAMANDI,10,676,16,17:34:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:17:00,,17.28,0,17:25:00,CL41035,KAYAMANDI,10,676,16,17:28:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:19:00,,17.32,0,17:37:00,CL30517,JAMESTOWN,10,670,16,17:55:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,0,17:38:00,CL26788,IDAS VALLEY,9,630,15,17:38:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,0,17:42:00,CL18264,IDAS VALLEY,9,630,15,17:42:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,0,17:20:00,CL10332,SOMERSET WEST,15,660,16,17:26:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,0,17:28:00,CL27391,KAYAMANDI,10,676,16,17:34:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,0,17:34:00,CF175499,KAYAMANDI,10,676,16,17:40:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:20:00,,17.33,8,17:20:00,CF231570,EERSTERIVIER,10,none,16,17:22:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:23:00,,17.38,0,17:35:00,CL35291,KAYAMANDI,10,676,16,17:43:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:24:00,,17.4,4,17:32:00,NICKY1WP,KYLEMORE,13,668,17,17:37:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:24:00,,17.4,0,17:24:00,CL915,JAMESTOWN,10,670,16,17:37:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,17:25:00,,17.42,0,17:38:00,CL13453,KYLEMORE,13,668,15,17:44:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:27:00,,17.45,0,17:40:00,CL59259,KAYAMANDI,10,676,16,17:46:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:27:00,,17.45,0,17:37:00,CFM26553,SOMERSET WEST,15,none,16,17:40:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:27:00,,17.45,14,17:27:00,CF173328,EERSTERIVIER,10,T45,15,17:31:00,18-Jun-18,Weekday PM,18Jun-T45-Weekday PM-Bergzicht
Bergzicht,17:28:00,,17.47,0,17:43:00,CA851626,KAYAMANDI,10,676,16,17:51:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:28:00,,17.47,0,17:41:00,CF101707,SOMERSET WEST,15,none,16,17:49:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:29:00,,17.48,0,17:49:00,CL32601,SOMERSET WEST,15,none,16,17:53:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:30:00,,17.5,0,,CL75723,JAMESTOWN,10,670,,17:46:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,17:31:00,,17.52,0,17:47:00,CL61192,KAYAMANDI,10,676,16,17:55:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:32:00,,17.53,0,17:52:00,CL52366,IDAS VALLEY,9,630,15,17:52:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:32:00,,17.53,0,,DEONKWP,IDAS VALLEY,9,630,15,,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:32:00,,17.53,0,,MJACOBSWP,IDAS VALLEY,9,630,14,,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:32:00,,17.53,0,17:58:00,CL85614,IDAS VALLEY,9,630,15,17:58:00,18-Jun-18,Weekday PM,18Jun-630-Weekday PM-Bergzicht
Bergzicht,17:33:00,,17.55,5,17:45:00,CL64025,KYLEMORE,13,668,16,17:57:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:36:00,,17.6,0,17:36:00,CF195069,EERSTERIVIER,10,511,16,17:44:00,18-Jun-18,Weekday PM,18Jun-511-Weekday PM-Bergzicht
Bergzicht,17:37:00,,17.62,0,17:40:00,THURLOWP,CLOETESVILLE,9,665,15,17:43:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:37:00,,17.62,0,17:51:00,CL75118,KAYAMANDI,10,676,16,17:56:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:38:00,,17.63,0,17:43:00,CL56735,CLOETESVILLE,9,665,15,17:44:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:39:00,,17.65,0,,CL49798,JAMESTOWN,10,670,,18:00:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,17:39:00,,17.65,0,17:56,CL53622,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:41:00,,17.68,2,17:59:00,CL55040,KYLEMORE,13,668,,18:00:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:42:00,,17.7,0,17:44:00,CL82352,CLOETESVILLE,9,665,13,17:47:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:42:00,,17.7,0,,CL62506,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:42:00,,17.7,0,,CL68550,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:42:00,,17.7,0,,CL70469,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:45:00,,17.75,0,17:47:00,GEORGE3WP,CLOETESVILLE,9,665,14,17:51:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:46:00,,17.77,0,17:51:00,CL44771,CLOETESVILLE,9,665,15,17:53:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:49:00,,17.82,0,,CL61881,KYLEMORE,13,668,,18:00:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:53:00,,17.88,0,,CL283WP,KYLEMORE,13,668,,18:00:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:53:00,,17.88,0,,CL24792,SOMERSET WEST,15,none,16,18:00:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,17:54:00,,17.9,0,17:54:00,CL30561,CLOETESVILLE,9,636,16,17:58:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,17:54:00,,17.9,0,17:59:00,CL44818,CLOETESVILLE,9,665,7,18:00:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,17:54:00,,17.9,2,,KYTA1,KYLEMORE,13,668,,18:00:00,18-Jun-18,Weekday PM,18Jun-668-Weekday PM-Bergzicht
Bergzicht,17:55:00,,17.92,0,,CL49069,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:55:00,,17.92,0,,CL76979,KAYAMANDI,10,676,,18:00:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,17:55:00,,17.92,0,17:55:00,CL41119,SOMERSET WEST,15,T43,,18:00:00,18-Jun-18,Weekday PM,18Jun-T43-Weekday PM-Bergzicht
